,yeast_ID,yeast_REPLACEMENT_ID,AGORA_abbr,bigg_reaction,CARVEME_abbr
2'-deoxyadenosine,,s_0133,,EX_dad_2_e,dad_2
2'-deoxyuridine,,s_0139,,EX_duri_e,duri
2-methylbutanal,,s_0167,,EX_2mbald_e,2mbald
2-methylbutanol,,s_0170,,EX_2mbtoh_e,2mbtoh
2-methylbutyl acetate,,s_0173,,EX_2mbac_e,2mbac
3-methylbutanal,,s_0235,,EX_3mbald_e,3mbald
5-formyltetrahydrofolic acid,,s_0320,,EX_5fthf_e,5fthf
"adenosine 3',5'-bismonophosphate",,s_0391,,EX_pap_e,pap
D-glucitol,,s_0562,,EX_sbt__D_e,sbt__D
decanoate,,s_0597,,EX_dca_e,dca
isoamylol,,s_0930,,EX_iamoh_e,iamoh
isobutanol,,s_0933,,EX_ibtol_e,ibtol
"N,N'-diformyldityrosine",,s_1186,,EX_Nbfortyr_e,Nbfortyr
tryptophol,,s_1530,,EX_ind3eth_e,ind3eth
hexanoate,,s_2824,,EX_hxcoa_e,hxcoa
alpha-maltotriose,,s_4140,,EX_malttr_e,malttr
methyl alpha-D-glucopyranoside,,s_4125,,EX_madg_e,madg
glycerone,,s_4167,,EX_dha_e,dha
N(omega)-phospho-L-arginine,,s_4093,,EX_argp_e,argp
2-hydroxyethane-1-sulfonate,,s_4116,,EX_isetac_e,isetac
N-acetyl-L-glutamate,,s_4172,,EX_acglu_e,acglu
